NomeEmpreendimento;TituloGrupo;NomeGrupo;TituloUnidade;NomeUnidade;Situacao;DimensaoFrente;DimensaoFundos;DimensaoEsquerda;DimensaoDireita;DimensaoOutros;Descricao;Observacoes;AreaTotal;ValorMetroQuadrado;ConfrontacaoFrente;ConfrontacaoFundos;ConfrontacaoEsquerda;ConfrontacaoDireita;NumeroMatricula;DataMatricula;ValorUnidade
Jardim das Acácias II;Quadra;003;Lote;059;Vendida;8,00;8,00;20,00;20,00;0,00;"Para quem de dentro do lote 02 olha para a RUA JOÃO JOSÉ DA COSTA inicia-se a descrição, daí segue em curva com  desenvolvimento de 6,60 m,  raio de 21,20 m,  com um ângulo central de curva de 17°49'41"" ,  de frente confrontando com RUA JOÃO JOSÉ DA COSTA, daí deflete à esquerda no ângulo interno de 188°54'49"" com uma distância de 3,76 m de frente confrontando com RUA JOÃO JOSÉ DA COSTA, daí deflete à direita no ângulo interno de 62°42'06"" com uma distância de 21,96 m do lado direito confrontando com Lote 01, daí segue em curva com  desenvolvimento de 10,75 m,  raio de 41,20 m,  com um ângulo central de curva de 14°56'55"" ,  ao fundo confrontando com MUNICIPIO DE TUPACIGUARA - MG, daí deflete à direita no ângulo interno de 76°18'36"" com uma distância de 20,23 m a esquerda confrontando com Lote 03; ";;160;257,78;RUA JOSÉ QUIRINO FILHO;Lote 05;Lote 01 e Lote 02;Lote 01 e Lote 02;28730;30/03/2022;41244,8
Jardim das Acácias II;Quadra;004;Lote;001;Vendida;7,00;10,00;15,82;18,82;0,00;ESQUINA/COM ;;186,27;279;AVENIDA JOÃO COSTA MOURA;Lote 60;RUA OVÍDIO FERREIRA BORGES;Lote 02;28731;30/03/2022;51969,33
Jardim das Acácias II;Quadra;004;Lote;002;Vendida;10,00;10,00;18,82;18,82;0,00;COMERCIAL ;;188,2;279;AVENIDA JOÃO COSTA MOURA;Lote 60;Lote 01;Lote 03;28732;30/03/2022;52507,8
Jardim das Acácias II;Quadra;004;Lote;003;Vendida;10,00;10,00;18,82;18,82;0,00;COMERCIAL ;;188,2;279;AVENIDA JOÃO COSTA MOURA;Lote 05;Lote 02;Lote 04;28733;30/03/2022;52507,8
Jardim das Acácias II;Quadra;004;Lote;004;Vendida;7,00;10,00;18,82;15,82;0,00;ESQUINA/COM ;;186,27;279;AVENIDA JOÃO COSTA MOURA;Lote 05;Lote 03;RUA MÁRIO DOMINGOS FERREIRA;28734;30/03/2022;51969,33
Jardim das Acácias II;Quadra;004;Lote;005;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 60;Lote 04  e Lote 03;Lote 06;28735;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;006;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 59;Lote 05;Lote 07;28736;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;007;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 58;Lote 06;Lote 08;28737;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;008;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 57;Lote 07;Lote 09;28738;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;009;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 56;Lote 08;Lote 10;28739;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;010;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 55;Lote 09;Lote 11;28740;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;011;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 54;Lote 10;Lote 12;28741;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;012;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 53;Lote 11;Lote 13;28742;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;013;Bloqueada;8,00;8,00;20,00;20,00;0,00; Maurilio;Maurilio;160;377,77;RUA MÁRIO DOMINGOS FERREIRA;Lote 52;Lote 12;Lote 14;28743;30/03/2022;60443,03
Jardim das Acácias II;Quadra;004;Lote;014;Bloqueada;8,00;8,00;20,00;20,00;0,00; Maurilio;Maurilio;160;377,77;RUA MÁRIO DOMINGOS FERREIRA;Lote 51;Lote 13;Lote 15;28744;30/03/2022;60443,03
Jardim das Acácias II;Quadra;004;Lote;015;Bloqueada;8,00;8,00;20,00;20,00;0,00; Maurilio;Maurilio;160;377,77;RUA MÁRIO DOMINGOS FERREIRA;Lote 50;Lote 14;Lote 16;28745;30/03/2022;60443,03
Jardim das Acácias II;Quadra;004;Lote;016;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 49;Lote 15;Lote 17;28746;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;017;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 48;Lote 16;Lote 18;28747;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;018;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 47;Lote 17;Lote 19;28748;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;019;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 46;Lote 18;Lote 20;28749;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;020;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 45;Lote 19;Lote 21;28750;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;021;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 44;Lote 20;Lote 22;28751;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;022;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 43;Lote 21;Lote 23;28752;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;023;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 42;Lote 22;Lote 24;28753;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;024;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 41;Lote 23;Lote 25;28754;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;025;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 40;Lote 24;Lote 26;28755;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;026;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 39;Lote 25;Lote 27;28756;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;027;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 38;Lote 26;Lote 28;28757;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;028;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 37;Lote 27;Lote 29;28758;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;029;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;313,6;RUA MÁRIO DOMINGOS FERREIRA;Lote 36;Lote 28;Lote 30;28759;30/03/2022;50176,1
Jardim das Acácias II;Quadra;004;Lote;030;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;284,45;RUA MÁRIO DOMINGOS FERREIRA;Lote 35;Lote 29;Lote 31 e Lote 32;28760;30/03/2022;45511,2
Jardim das Acácias II;Quadra;004;Lote;031;Vendida;7,00;10,00;15,34;18,34;0,00;ESQUINA ;;181,54;258;RUA MÁRIO DOMINGOS FERREIRA;Lote 30;RUA MÁRIO DOMINGOS FERREIRA;Lote 32;28761;30/03/2022;46837,32
Jardim das Acácias II;Quadra;004;Lote;032;Disponível;10,00;10,00;18,34;18,34;0,00; ;;183,47;270,9;RUA MANOEL PEREIRA DA SILVA;Lote 30;Lote 31;Lote 33;28762;30/03/2022;49702,02
Jardim das Acácias II;Quadra;004;Lote;033;Disponível;10,00;10,00;18,34;18,34;0,00; ;;183,47;270,9;RUA MANOEL PEREIRA DA SILVA;Lote 35;Lote 32;Lote 34;28763;30/03/2022;49702,02
Jardim das Acácias II;Quadra;004;Lote;034;Vendida;7,00;10,00;18,34;15,34;0,00;ESQUINA ;;181,54;258;RUA OVÍDIO FERREIRA BORGES;Lote 35;Lote 33;RUA OVÍDIO FERREIRA BORGES;28764;30/03/2022;46837,32
Jardim das Acácias II;Quadra;004;Lote;035;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;258;RUA OVÍDIO FERREIRA BORGES;Lote 30;Lote 33 e Lote 34;Lote 36;28765;30/03/2022;41280
Jardim das Acácias II;Quadra;004;Lote;036;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;342,65;RUA OVÍDIO FERREIRA BORGES;Lote 29;Lote 35;Lote 37;28766;30/03/2022;54823,61
Jardim das Acácias II;Quadra;004;Lote;037;Bloqueada;8,00;8,00;20,00;20,00;0,00; K5 Capital Imob LTDA;K5 Capital Imob LTDA;160;377,77;RUA OVÍDIO FERREIRA BORGES;Lote 28;Lote 36;Lote 38;28767;30/03/2022;60443,03
Jardim das Acácias II;Quadra;004;Lote;038;Bloqueada;8,00;8,00;20,00;20,00;0,00; K5 Capital imob LTDA;K5 Capital imob LTDA;160;377,77;RUA OVÍDIO FERREIRA BORGES;Lote 27;Lote 37;Lote 39;28768;30/03/2022;60443,03
Jardim das Acácias II;Quadra;004;Lote;039;Bloqueada;8,00;8,00;20,00;20,00;0,00; K5 Capital imob LTDA;K5 Capital imob LTDA;160;377,77;RUA OVÍDIO FERREIRA BORGES;Lote 26;Lote 38;Lote 40;28769;30/03/2022;60443,03
Jardim das Acácias II;Quadra;004;Lote;040;Bloqueada;8,00;8,00;20,00;20,00;0,00; K5 Capital imob LTDA;K5 Capital imob LTDA;160;377,77;RUA OVÍDIO FERREIRA BORGES;Lote 25;Lote 39;Lote 41;28770;30/03/2022;60443,03
Jardim das Acácias II;Quadra;004;Lote;041;Bloqueada;8,00;8,00;20,00;20,00;0,00; CAUÇÃO /Casas POP;CAUÇÃO /Casas POP;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 24;Lote 40;Lote 42;28771;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;042;Bloqueada;8,00;8,00;20,00;20,00;0,00; CAUÇÃO /Casas POP;CAUÇÃO /Casas POP;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 23;Lote 41;Lote 43;28772;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;043;Bloqueada;8,00;8,00;20,00;20,00;0,00; CAUÇÃO /Casas POP;CAUÇÃO /Casas POP;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 22;Lote 42;Lote 44;28773;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;044;Bloqueada;8,00;8,00;20,00;20,00;0,00; CAUÇÃO /Casas POP;CAUÇÃO /Casas POP;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 21;Lote 43;Lote 45;28774;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;045;Bloqueada;8,00;8,00;20,00;20,00;0,00; CAUÇÃO /Casas POP;CAUÇÃO /Casas POP;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 20;Lote 44;Lote 46;28775;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;046;Bloqueada;8,00;8,00;20,00;20,00;0,00; CAUÇÃO /Casas POP;CAUÇÃO /Casas POP;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 19;Lote 45;Lote 47;28776;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;047;Bloqueada;8,00;8,00;20,00;20,00;0,00; CAUÇÃO /Casas POP;CAUÇÃO /Casas POP;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 18;Lote 46;Lote 48;28777;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;048;Bloqueada;8,00;8,00;20,00;20,00;0,00; CAUÇÃO /Casas POP;CAUÇÃO /Casas POP;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 17;Lote 47;Lote 49;28778;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;049;Bloqueada;8,00;8,00;20,00;20,00;0,00; CAUÇÃO /Casas POP;CAUÇÃO /Casas POP;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 16;Lote 48;Lote 50;28779;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;050;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 15;Lote 49;Lote 51;28780;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;051;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 14;Lote 50;Lote 52;28781;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;052;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 13;Lote 51;Lote 53;28782;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;053;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 12;Lote 52;Lote 54;28783;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;054;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 11;Lote 53;Lote 55;28784;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;055;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 10;Lote 54;Lote 56;28785;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;056;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 09;Lote 55;Lote 57;28786;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;057;Disponível;8,00;8,00;20,00;20,00;0,00; CAUÇÃO;CAUÇÃO;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 08;Lote 56;Lote 58;28787;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;058;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 07;Lote 57;Lote 59;28788;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;059;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA OVÍDIO FERREIRA BORGES;Lote 06;Lote 58;Lote 60;28789;30/03/2022;60327,27
Jardim das Acácias II;Quadra;004;Lote;060;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;341,99;RUA OVÍDIO FERREIRA BORGES;Lote 05;Lote 59;Lote 02 e Lote 01;28790;30/03/2022;54718,61
Jardim das Acácias II;Quadra;005;Lote;001;Vendida;7,00;10,00;15,82;18,82;0,00;ESQUINA/COM ;;186,27;279;AVENIDA JOÃO COSTA MOURA;Lote 60;RUA OVÍDIO FERREIRA BORGES;Lote 02;28791;30/03/2022;51969,33
Jardim das Acácias II;Quadra;005;Lote;002;Vendida;10,00;10,00;18,82;18,82;0,00;COMERCIAL ;;188,2;322,98;AVENIDA JOÃO COSTA MOURA;Lote 60;Lote 01;Lote 03;28792;30/03/2022;60784,34
Jardim das Acácias II;Quadra;005;Lote;003;Vendida;10,00;10,00;18,82;18,82;0,00;COMERCIAL ;;188,2;279;AVENIDA JOÃO COSTA MOURA;Lote 05;Lote 02;Lote 04;28793;30/03/2022;52507,8
Jardim das Acácias II;Quadra;005;Lote;004;Vendida;7,00;10,00;18,82;15,82;0,00;ESQUINA/COM ;;186,27;279;AVENIDA JOÃO COSTA MOURA;Lote 05;Lote 03;RUA MÁRIO DOMINGOS FERREIRA;28794;30/03/2022;51969,33
Jardim das Acácias II;Quadra;005;Lote;005;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;359,09;RUA ALONSO LOPES VALADÃO;Lote 60;Lote 04  e Lote 03;Lote 06;28795;30/03/2022;57454,54
Jardim das Acácias II;Quadra;005;Lote;006;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA ALONSO LOPES VALADÃO;Lote 59;Lote 05;Lote 07;28796;30/03/2022;60327,27
Jardim das Acácias II;Quadra;005;Lote;007;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA ALONSO LOPES VALADÃO;Lote 58;Lote 06;Lote 08;28797;30/03/2022;60327,27
Jardim das Acácias II;Quadra;005;Lote;008;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;284,78;RUA ALONSO LOPES VALADÃO;Lote 57;Lote 07;Lote 09;28798;30/03/2022;45564,12
Jardim das Acácias II;Quadra;005;Lote;009;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA ALONSO LOPES VALADÃO;Lote 56;Lote 08;Lote 10;28799;30/03/2022;60327,27
Jardim das Acácias II;Quadra;005;Lote;010;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA ALONSO LOPES VALADÃO;Lote 55;Lote 09;Lote 11;28800;30/03/2022;60327,27
Jardim das Acácias II;Quadra;005;Lote;011;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;377,05;RUA ALONSO LOPES VALADÃO;Lote 54;Lote 10;Lote 12;28801;30/03/2022;60327,27
Jardim das Acácias II;Quadra;005;Lote;012;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 53;Lote 11;Lote 13;28802;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;013;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 52;Lote 12;Lote 14;28803;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;014;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 51;Lote 13;Lote 15;28804;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;015;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 50;Lote 14;Lote 16;28805;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;016;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 49;Lote 15;Lote 17;28806;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;017;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 48;Lote 16;Lote 18;28807;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;018;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 47;Lote 17;Lote 19;28808;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;019;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 46;Lote 18;Lote 20;28809;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;020;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 45;Lote 19;Lote 21;28810;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;021;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 44;Lote 20;Lote 22;28811;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;022;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 43;Lote 21;Lote 23;28812;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;023;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 42;Lote 22;Lote 24;28813;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;024;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 41;Lote 23;Lote 25;28814;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;025;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 40;Lote 24;Lote 26;28815;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;026;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA ALONSO LOPES VALADÃO;Lote 39;Lote 25;Lote 27;28816;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;027;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;258,3;RUA ALONSO LOPES VALADÃO;Lote 38;Lote 26;Lote 28;28817;30/03/2022;41328
Jardim das Acácias II;Quadra;005;Lote;028;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;246;RUA ALONSO LOPES VALADÃO;Lote 37;Lote 27;Lote 29;28818;30/03/2022;39360
Jardim das Acácias II;Quadra;005;Lote;029;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;258,3;RUA ALONSO LOPES VALADÃO;Lote 36;Lote 28;Lote 30;28819;30/03/2022;41328
Jardim das Acácias II;Quadra;005;Lote;030;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;246;RUA ALONSO LOPES VALADÃO;Lote 35;Lote 29;Lote 31 e Lote 32;28820;30/03/2022;39360
Jardim das Acácias II;Quadra;005;Lote;031;Vendida;7,00;10,00;15,34;18,34;0,00;ESQUINA ;;181,54;246;RUA MANOEL PEREIRA DA SILVA;Lote 30;RUA MÁRIO DOMINGOS FERREIRA;Lote 32;28821;30/03/2022;44658,84
Jardim das Acácias II;Quadra;005;Lote;032;Vendida;10,00;10,00;18,34;18,34;0,00; ;;183,47;246;RUA MANOEL PEREIRA DA SILVA;Lote 30;Lote 31;Lote 33;28822;30/03/2022;45133,62
Jardim das Acácias II;Quadra;005;Lote;033;Vendida;10,00;10,00;18,34;18,34;0,00; ;;183,47;246;RUA MANOEL PEREIRA DA SILVA;Lote 35;Lote 32;Lote 34;28823;30/03/2022;45133,62
Jardim das Acácias II;Quadra;005;Lote;034;Vendida;7,00;10,00;18,34;15,34;0,00;ESQUINA ;;181,54;246;RUA MANOEL PEREIRA DA SILVA;Lote 35;Lote 33;RUA MÁRIO DOMINGOS FERREIRA;28824;30/03/2022;44658,84
Jardim das Acácias II;Quadra;005;Lote;035;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;360,2;RUA MÁRIO DOMINGOS FERREIRA;Lote 30;Lote 33 e Lote 34;Lote 36;28825;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;036;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;360,2;RUA MÁRIO DOMINGOS FERREIRA;Lote 29;Lote 35;Lote 37;28826;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;037;Disponível;8,00;8,00;20,00;20,00;0,00; ;;160;343,05;RUA MÁRIO DOMINGOS FERREIRA;Lote 28;Lote 36;Lote 38;28827;30/03/2022;54887,35
Jardim das Acácias II;Quadra;005;Lote;038;Vendida;8,00;8,00;20,00;20,00;0,00; ;;160;271,22;RUA MÁRIO DOMINGOS FERREIRA;Lote 27;Lote 37;Lote 39;28828;30/03/2022;43394,4
Jardim das Acácias II;Quadra;005;Lote;039;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA MÁRIO DOMINGOS FERREIRA;Lote 26;Lote 38;Lote 40;28829;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;040;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA MÁRIO DOMINGOS FERREIRA;Lote 25;Lote 39;Lote 41;28830;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;041;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA MÁRIO DOMINGOS FERREIRA;Lote 24;Lote 40;Lote 42;28831;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;042;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA MÁRIO DOMINGOS FERREIRA;Lote 23;Lote 41;Lote 43;28832;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;043;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA MÁRIO DOMINGOS FERREIRA;Lote 22;Lote 42;Lote 44;28833;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;044;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA MÁRIO DOMINGOS FERREIRA;Lote 21;Lote 43;Lote 45;28834;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;045;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA MÁRIO DOMINGOS FERREIRA;Lote 20;Lote 44;Lote 46;28835;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;046;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA MÁRIO DOMINGOS FERREIRA;Lote 19;Lote 45;Lote 47;28836;30/03/2022;57631,72
Jardim das Acácias II;Quadra;005;Lote;047;Bloqueada;8,00;8,00;20,00;20,00;0,00; Vandeir;Vandeir;160;360,2;RUA MÁRIO DOMINGOS FERREIRA;Lote 18;Lote 46;Lote 48;28837;30/03/2022;57631,72
